CENTRO,CIF,GRUPO,U.V.I.,URGENC.,DIRECCIÓN,CPOSTAL,POBLACIÓN,PROVINCIA,COMUNIDAD AUTÓNOMA,TELEFONO,lat,lon
FUNDACIÓ HOSPITAL SANT PAU I SANTA TECLA - CENTRE SOCIOSANITARI HOSPITAL DEL VENDRELL,R4300016E,C1,,,"Carretera de Barcelona, s/n",43700,TARRAGONA,TARRAGONA,CATALUÑA,977259900,41.2262,1.5329
FUNDACIÓ PRIVADA HOSPITAL DE CAMPDEVÀNOL,G17053075,B,N,S,"Carretera de Gombrèn, 20",17530,CAMPDEVÀNOL,GERONA,CATALUÑA,972730028/972730013,42.23496666666667,2.1679
FUNDACIÓ PRIVADA HOSPITAL DE PUIGCERDÀ,G17048190,C2,N,S,"Plaça Santa Maria, 1",17520,PUIGCERDÀ,GIRONA,CATALUÑA,972 880 150 ,42.4242,1.9203
FUNDACIÓ PRIVADA HOSPITAL EVANGÈLIC,G08489528,C1,N,N,"Camèlies, 15-17",08024,BARCELONA,BARCELONA,CATALUÑA,932859955,41.4112,2.1588
EDP SALUT SANT JOAN DE REUS - BAIX CAMP - HOSPITAL LLEUGUER DE CAMBRILS,Q4300351F,C2,N,N,"Pl. de l'Ajuntament, 4",43850,CAMBRILS,TARRAGONA,CATALUÑA,977 363 074,41.07345,1.05605
FUNDACIO SALUT EMPORDA,G17029810,A,S,S,"Ronda Rector Aroles, s/n",17600,FIGUERES,GIRONA,CATALUÑA,972 677 479,42.2651,2.9618
FUNDACIÓ SANITÀRIA DE MOLLET-HOSPITAL DEL MOLLET,G61289971,A,N,S,"Ronda dels Pinetons, 6-8",08100,MOLLET DEL VALLÈS,BARCELONA,CATALUÑA,935760301,41.5403,2.2131
FUNDACIO SANT HOSPITAL LA SEU D'URGELL,Q2500012F,A,S,S,"Passeig Joan Brodrieu, 8",25700,LA SEU D´URGELL,LLEIDA,CATALUÑA,973 350 050,42.3588,1.4614
FUNDACION BENEFICA CANARIA CASA ASILO SAN JOSE ,G35035245,B,S,S,"Padre Cueto, 26",35008,LAS PALMAS G.C.,LAS PALMAS,CANARIAS,928263720,28.0997,-15.4134
FUNDACION HOSPITAL DE AVILES,G33011156,B,,,"Cabruñana, 19",33402,AVILES,ASTURIAS,ASTURIAS,985563954,43.5547,-5.9248
FUNDACIÓN HOSPITAL DE JOVE,G33609272,B,S,S,"Avda. Eduardo Castro, 161",33290,GIJON,ASTURIAS,ASTURIAS,985320050 / 985320308,43.5357,-5.6615
FUNDACIÓN INSTITUTO SAN JOSÉ,G28689867,B,N,N,"Pinar de San José, 98",28054,MADRID,MADRID,C. MADRID,915080140,40.3665,-3.7568
FYRA PLUS,B56083470,C2,,,Avenida de la Arruzafa 15,14012,CORDOBA,CORDOBA,ANDALUCIA,957 74 14 89,37.8916,-4.7727
"G.R.F GABINETE DE RECUPERACIÓN FUNCIONAL, S.L.P.",B60145414,C2,N,N,"Pinós, 18",08402,GRANOLLERS ,BARCELONA,CATALUÑA,938795208,41.6219,2.295
GABIMEDI BLANES  (GABIMEDI S.L.),B17412636,C2,N,N,Ses Falques nau 7,17300,Blanes,GIRONA,CATALUÑA,972010128,41.6767,2.788
GABIMEDI FARNERS (GABIMEDI S.L.),B17412636,C2,N,N,"Francesc Camprodon, 40",17430,SANTA COLOMA DE FARNERS,GIRONA,CATALUÑA,972877473,41.8667,2.6667
GABIMEDI LLORET  (GABIMEDI S.L.),B17412636,C2,N,N,"Masia del Roser,12",17310,LLORET DE MAR,GIRONA,CATALUÑA,937522492,41.6999,2.8456
GABIMEDI TORDERA (GABIMEDI S.L.),B17412636,C2,N,N,"Amadeu Vives, 25",08490,TORDERA,BARCELONA,CATALUÑA,937643050,41.6975,2.7179
GABINETE DE RECUPERACIÓN FUNCIONAL GRF,B60145414,C2,N,N,"Avda. Torreblanca, 2-8, 2ªD",08172,SANT CUGAT DEL VALLÉS ,BARCELONA,CATALUÑA,935890150,41.4667,2.0833
GABINETE DE RECUPERACIÓN FUNCIONAL GRF,J58326471,C2,N,N,"Passatge Sant Ramon, 7",08470,SANT CELONI ,BARCELONA,CATALUÑA,938672903,41.6859,2.4814
GAYO GESTION DE ACTIVOS S.L ,B83586230,C2,N,N,"Andres Segovia, nº1 c/v   c/las flores 8      ",1977-04-15 00:00:00,Las Rozas de Madrid,MADRID,C. MADRID,916363737,,
"GERIÀTRIC DEL MARESME, S. L.U.",B58264052,C1,,,"C. Lepant, 13",08301,MATARÓ,BARCELONA,CATALUÑA,674 095 212,41.5421,2.4445
GESTIÓ I PRESTACIÓ DE SERVEIS DE  SALUT - CAP SANT PERE,Q9355294A,C2,N,N,"Camí de Riudoms, núm 53",43202,REUS,TARRAGONA,CATALUÑA,979 221 875 ,41.1568,1.1011
GESTIÓ I PRESTACIÓ DE SERVEIS DE  SALUT - CAP TORREFORTA,Q9355294A,C2,N,N,"C/La Gomera, núm 10",43006,TARRAGONA,TARRAGONA,CATALUÑA,978 221 875 ,41.1251,1.2347
GESTIÓ I PRESTACIÓ DE SERVEIS DE  SALUT - CENTRE DE REHABILITACIÓ  CAP CATALUNYA,Q9355294A,C2,N,N,Plaça dels Castellers s/n,43002,TARRAGONA,TARRAGONA,CATALUÑA,977 221 875 ,41.1204,1.2507
GESTIÓ I PRESTACIÓ DE SERVEIS DE  SALUT - CENTRE DE REHABILITACIÓ CAP MONT-ROIG,Q9355294A,C2,N,N,"C/Aureli Escarré, núm 28",43300,MONTROIG DEL CAMP,TARRAGONA,CATALUÑA,977 221 875 ,41.2089,0.9538
GESTIÓ I PRESTACIÓ DE SERVEIS DE  SALUT-HOSPITAL SOCIOSANITARI FRANCOLÍ,Q9355294A,C1,N,N,c/Joan Pau II n.2,43005,TARRAGONA,TARRAGONA,CATALUÑA,977 221 875 ,41.1174,1.2417
"GESTRASAL SALUD, S.L. (clínicaS GUADALHORCE",B93443547,C2,,S,"HUESCA, 2 ",29580,ESTACION CARTAMA,MALAGA,ANDALUCÍA,952499023,36.8724,-4.699
"GESTSERSAN,S.L.",B67437566,C2,NO,NO,AV. PAISOS CATALANS,08192,SANT QUIRZE DEL VALLES,BARCELONA,CATALUNYA,630047042,41.5333,2.0833
"GESTUMED 2000, S.L. (CENTRO ASISTENCIAL INSTITUTO ESTÉTICO LÁSER 200",B92680941,C2,N,N,"Avda. Capitán Ontañon, Edificio Mª Cristina, 1",00nan,ALGECIRAS ,CÁDIZ,ANDALUCÍA,956639740,,
GIL JUAN GIL SALAS S.L.U.P.,B72188147,C2,N,N," Méndez Nuñez, 6",11300,LA LÍNEA DE LA CONCEPCIÓN,CÁDIZ,ANDALUCÍA,956175235,36.1681,-5.3478
GLOBAL MEDICAL MALAGA,B93046340,C2,N,S,Avenida Imperio Argentina 5,29007,MALAGA,MALAGA,ANDALUCÍA,609561452,36.7202,-4.4203
GLOBAL SALUD (clínicaS LOBO S.L.)  ,B90225715,C2,N,N,"c/ Arroz 32, Bajo A",41704,DOS HERMANAS,SEVILLA,ANDALUCÍA,955339777/645797067,37.294,-5.9281
GOAS FISIOTERAPIA SLP,B24700304,C2,N,N,"RAMON ALVAREZ DE LA BRAÑA, 4",24002,LEÓN,LEÓN,CASTILLA LEÓN,987087902,42.6,-5.5703
GRF GABINET RECUPERACIO FUNCIONAL  SANT CUGAT DEL VALLES,B60145414,C2,N,N,"AV.TORREBLANCA,2-8",08172,SANT CUGAT DEL VALLES,BARCELONA,CATALUÑA,935890150,41.4667,2.0833
GRF SANT CELONI,J58326471,C2,N,N,"PASSATGE SANT RAMON,7,1ªPL.",08470,SANT CELONI,BARCELONA,CATALUÑA,938672903,41.6859,2.4814
GRUPO CORACHÁN,V61413597,A,S,S,"Buïgas, 19",08017,BARCELONA,BARCELONA,CATALUÑA,9 2545800,41.4093,2.1129
Creysade Puente Genil S.L,B70618251,C2,N,N,c/ Montalban 16,14500,PUENTE GENIL,CÓRDOBA,ANDALUCÍA,957603529,37.374225,-4.7482
"GRUPO FISIOCLÍNICAS, ELO",B24318016,C2,N,N,"Paseo Salamanca, nº 89",24010,LEÓN,LEÓN,CASTILLA LEÓN,987070719,42.6,-5.5703
HERGOLA C.A.T,B90161989,C,N,N,AV 28 FEBRERO (CTRO COMERCIAL),41500,ALCALA DE GUADAIRA,SEVILLA,ANDALUCÍA,722332324,37.3379,-5.8395
HISPANA DE REHABILITACION Y TRAUMATOLOGIA,B90237926,C2,NO,NO,"AV. BLAS INFANTE, NAVE 2",11650,VILLAMARTIN,CADIZ,ANDALUCÍA,616666897,36.8598,-5.6448
HM IMI TOLEDO,A79325858,C2,N,N,"AVDA. DE IRLANDA, Nº21",45005,TOLEDO,TOLEDO,CASTILLA LA MANCHA,925254515,39.8853,-4.0512
HORIZON MEDICAL GROUP,B90401787,C2,,,"C/ Miño, 10",41011,SEVILLA,SEVILLA,ANDALUCÍA,617628742,37.3744,-6.0008
HOSPITAL  CMV CENTRO MÉDICO VIRGEN DE LA CARIDAD CARTAGENA,B30722672,A,N,N,CALLE JORGE JUAN 30,30204,CARTAGENA,MURCIA ,REGIÓN DE MURCIA,968506666,37.6051,-0.9862
HOSPITAL  FATIMA (clínica DE FATIMA GESTION SLU),B90008764,A,S,S,"Glorieta de Mexico, 1",41012,SEVILLA,SEVILLA,ANDALUCÍA,954613300,37.3548,-5.9848
HOSPITAL 9 DE OCTUBRE SAU (VITHAS VALENCIA 9 DE OCTUBRE),A46582326,A,,S,AVDA VALLE DE LA BALLESTERA  59,46015,VALENCIA,VALENCIA,COMUNIDAD VALENCIANA,963179150,39.4698,-0.3774
HOSPITAL ASEPEYO COSLADA,G08215824,A,S,S,"Joaquín de Cárdenas, 2",28823,COSLADA,MADRID,C. MADRID,916735011,40.4318,-3.5395
HOSPITAL ASEPEYO SANT CUGAT,G08215824,A,S,S,"Av. Alcalde Barnils, s/n",08190,SANT CUGAT DEL VALLÈS,BARCELONA,CATALUÑA,935653900,41.4667,2.0833
HOSPITAL BEATA MARÍA ANA,R2800727F,B,S,S,c/ Doctor Esquerdo 83,28007,Madrid,Madrid,C. MADRID,914097423,40.4066,-3.6724
HOSPITAL BEGOÑA,B33604240,B,N,S,"AVDA. PABLO IGLESIAS, 92",33204,GIJON,ASTURIAS,ASTURIAS,985367711,43.5357,-5.6615
HOSPITAL CASAVERDE MADRID,B80832082,C2,,,JOSE MARIA LOPEZ MALLA Nº 3,28600,NAVALCARNERO,MADRID,MADRID,911609910/ 689788411,40.13463333333333,-3.739966666666666
HOSPITAL CENTRO MEDICO VIRGEN DE LA CARIDAD,B30096341,B,N,S,"Doctor Robles, S/N.",30400,CARAVACA DE LA CRUZ,MURCIA,REGIÓN DE MURCIA,968705541,38.0823,-1.9868
HOSPITAL CERAM MARBELLA (Centro de Reproducción Asistida de Marbella SLP),B92178599,A,N,S,C/ MAESTRA DOÑA CAROLA 8,29602,MARBELLA,MALAGA,ANDALUCÍA,952899350/651320524,36.516,-4.9107
HOSPITAL CIUDAD DE TELDE,B35036540,C,N,N,MISTER BLISSE SN,35212,TELDE,CANARIAS,CANARIAS,928707555,27.99624,-15.42496
HOSPITAL CLINIC DE BARCELONA ,Q0802070C,A,S,S,"Villarroel, 170",08036,BARCELONA,BARCELONA,CATALUÑA,932275400 (Dep. Facturación ext. 1406 / 2097 / 2099) ,41.3906,2.1521
"HOSPITAL COMARCAL D'AMPOSTA, SAM",A43282334,B,N,S,"Jacint Verdaguer, 11-13",43870,AMPOSTA,TARRAGONA,CATALUÑA,977 040 610,40.7095,0.5774
HOSPITAL COMARCAL DE BLANES - CORPORACIÓ SALUT MARESME I LA SELVA,G62743125,A,N,S,"Accés Cala Sant Francesc, 5",17300,BLANES,GIRONA,CATALUÑA,93 769.02.01   ,41.6767,2.788
"HOSPITAL COMARCAL DEL PALLARS, GESTIÓ SERVEIS SANITARIS",Q7555308A,A,S,S,"Pau Casals, 5",25620,TREMP,LLEIDA,CATALUÑA,934959 02,42.1665,0.895
HOSPITAL COMARCAL SANT BERNABE DE BERGA - SALUT CATALUNYA CENTRAL,Q0802284J,A,S,S,"Ctra. de Ribes, s/n",08600,BERGA,BARCELONA,CATALUÑA,938243401,42.1027,1.84595
HOSPITAL COMARCAL SANT JAUME DE CALELLA - CORPORACIÓ DE SALUT DEL MARESME I LA SELVA,G62743125,A,S,S,"Sant Jaume, 209-217",08370,CALELLA,BARCELONA,CATALUÑA,937 690 201,41.6168,2.6691
HOSPITAL COMARCAL VIRGEN DEL CAMINO,A11027554,A,S,S,"Ctra. Sanlucar a Chipiona, Km 2",00nan,SANLUCAR DE BARRAMEDA,CÁDIZ,ANDALUCÍA,956048000,,
HOSPITAL COVADONGA ,B52518198,B,N,S,"General Suárez Valdés, 40",33204,GIJÓN,ASTURIAS,ASTURIAS,985365122,43.5357,-5.6615
HOSPITAL CRUZ ROJA DE CÓRDOBA,Q2866001G,A,S,S,"Paseo de la Victoria, s/n",14004,CÓRDOBA,CÓRDOBA,ANDALUCÍA,957 420 666,37.8916,-4.7727
"HOSPITAL DE BENALMADENA XANIT,S.L.-VITHAS SALUD RINCON - RINCON DE LA VICTORIA",B14708945,C1,N,N,"Avda. de la Torre, 24 residencial los Claros",29730,RINCÓN DE LA VICTORIA,MÁLAGA,ANDALUCÍA,952965126,36.7171,-4.2758
"HOSPITAL DE BENALMADENA XANIT,S.L.-VITHAS SALUD RINCON NERJA",B14708945,C2,N,N,"Antonio Ferrandis ""Chanquete"" edificio Riosol",29780,NERJA,MÁLAGA,ANDALUCÍA,952965126,36.7547,-3.8724
"HOSPITAL DE BENALMADENA XANIT,S.L.-VITHAS SALUD RINCON TORRE DEL MAR",B14708945,C1,N,N,"San Andrés, 23",29740,TORRE DEL MAR,MÁLAGA,ANDALUCÍA,952965126,36.742,-4.0929
"HOSPITAL DE BENALMADENA XANIT,S.L.-VITHAS SALUD RINCON TORREMOLINOS",B14708945,C2,N,N,"Hoyo, 12 y 15 ",29620,TORREMOLINOS,MALAGA,ANDALUCÍA,952965126,36.6215,-4.5042
HOSPITAL DE DÍA QUIRÓNSALUD ALCALA DE HENARES,B81959843,C1,N,N,"Vía Complutense, 117",28805,ALCALÁ DE HENARES,MADRID,C. MADRID,918775780ext231,40.50615,-3.3278
HOSPITAL DE L'ESPERANÇA - CONSORCI MAR PARC DE SALUT DE BARCELONA,S0800471E,A,S,S,"Sant Josep de la Muntanya,  12",08024  ,BARCELONA,BARCELONA,CATALUÑA,932 483 411/932 483 087,,
HOSPITAL DE L'ESPERIT SANT,G08358764,A,S,S,"Av. Mossèn Pons i Rabadà, s/n",08923,SANTA COLOMA DE GRAMENET,BARCELONA,CATALUÑA,933776956,41.4515,2.2081
"HOSPITAL DE LLEVANT, SLU",B86544939,A,S,S,"Escamarlà, 6",07680,PORTO CRISTO,MALLORCA,BALEARES,971 82 24 00 ,39.4576,3.2772
HOSPITAL DE MATARÓ-CONSORCI SANITARI DEL MARESME,Q5856428G,A,S,S,Ctra. Cirera S/N,08304,MATARÓ,BARCELONA,CATALUÑA,94 741 77 00 (ext. 1009),41.5421,2.4445
HOSPITAL DE SANT CELONI FUNDACIÓ PRIVADA,G08552739,A,S,S,"Av. Hospital, 19",08470,SANT CELONI,,CATALUÑA,938670317,41.6859,2.4814
HOSPITAL DE SANT JAUME I SANTA MAGDALENA -CONSORCI SANITARI DEL MARESME,Q5856428G,C1,N,N,Hospital 31,08301,MATARÓ,BARCELONA,CATALUÑA,93 741 77 00 (ext. 1009),41.5421,2.4445
HOSPITAL DE SANT JOAN DE DÉU,R5800645C,A,S,S,"Passeig Sant Joan de Déu, 2",08950,ESPLUGUES DE LLOBREGAT,BARCELONA,CATALUÑA,936 009 757,41.3773,2.0881
HOSPITAL DEL MAR - CONSORCI MAR PARC DE SALUT DE BARCELONA,S0800471E,A,S,S,Passeig Marítim 25-29,08003  ,BARCELONA,BARCELONA,CATALUÑA,932 483 411/932 483 087,,
HOSPITAL DEL VENDRELL - FUNDACIÓ HOSPITAL SANT PAU I SANTA TECLA,R4300016E,A,S,S,Carrer Barcelona s/n,43700,TARRAGONA,TARRAGONA,CATALUÑA,977251570,41.2262,1.5329
HOSPITAL DOCTOR GALVEZ,B88019005,A,S,S,"San Agustín, 1",29015,MÁLAGA,MÁLAGA,ANDALUCÍA,952224295,36.7202,-4.4203
HOSPITAL DOCTOR LOPEZ CANO,B11460086,B,,S,Plaza Madrid s/n,11010,CADIZ,CADIZ,ANDALUCÍA,956205855,36.5298,-6.2947
HOSPITAL DOS DE MAIG - CONSORCI SANITARI INTEGRAL ,Q5856254G,A,S,S,"Dos de Maig, 301",08025,BARCELONA,BARCELONA,CATALUÑA,935 579 936 ,41.4079,2.1705
"HOSPITAL EL ÁNGEL GRUPO HLA, S.L.U",B93478782,A,N,N,"C/ Corregidor Nicolás Isidro, 16 
",29007,Malaga,Malaga,ANDALUCÍA,915957619,36.7202,-4.4203
HOSPITAL EL PILAR-GRUPO QUIRÓNSALUD,B87324844,A,S,S,"Balmes, 271",08006,BARCELONA,BARCELONA,CATALUÑA,933586395,41.4008,2.1481
HOSPITAL FREMAP BARCELONA,G28207017,A,S,S,"Madrazo, 8-10",08006,BARCELONA,BARCELONA,CATALUÑA,934169100,41.4008,2.1481
HM Santisima Trinidad,B75325605,A,S,S,"Paseo Carmelitas, 74 - 94",37007,SALAMANCA,SALAMANCA,CASTILLA LEÓN,923269300,40.9688,-5.6716
HOSPITAL GENERAL DE L'HOSPITALET DE LLOBREGAT ,Q5856254G,C1,S,S,Av. Josep Molins 29-41 ,08906,HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,935 579 936 ,41.4301,2.1925
HOSPITAL GENERAL SANTA MARIA DEL PUERTO,A11027554,A,S,N,"Valdés, s/n",11500,EL PUERTO DE SANTA MARIA,CÁDIZ,ANDALUCÍA,956017098,36.59493333333333,-6.219733333333333
HOSPITAL IMED ELCHE,B98059314,A,S,S,"Max Planck, 3n, Elche Parque Industrial",03203,ELCHE,ALICANTE,C. VALENCIANA,966915151,38.2622,-0.7011
HOSPITAL IMED LEVANTE,B96827050,A,S,S,"Dr. Ramon y Cajal, 7",03503,BENIDORM,ALICANTE,C. VALENCIANA,966868685 Ext. 1023/966811111,38.538714285714285,-0.1274285714285714
HOSPITAL IMED VALENCIA,B98178742,A,S,S,"Avda. de la Ilustracion, 1 ",46100,BURJASSOT,VALENCIA,C. VALENCIANA,963003003,39.5101,-0.4129
"HOSPITAL INMACULADA GRUPO HLA, S.L.U",B19612910,A,N,N,"Dr. Alejandro Otero, 8     
",18004,Granada,Granada,ANDALUCÍA,915957619,37.1715,-3.6074
"HOSPITAL JEREZ PUERTA DEL SUR GRUPO HLA, S.A.U.",A08169120,A,N,N,"Avda.  De la Puerta del Sur, S/N                                          ",11408,JEREZ DE LA FRONTERA,Cadiz,ANDALUCÍA,915957619/696893710,36.650675,-6.1594999999999995
"HOSPITAL JUANEDA MIRAMAR (AGRUPACIÓN MÉDICA BALEAR, S.A.)",A07009574,A,S,S,"Camino de la Vileta, 30  ",07011,PALMA DE MALLORCA,MALLORCA,BALEARES,971 76 70 58,39.5694,2.6502
"HOSPITAL JUANEDA MURO (HOSPITAL GENERAL DE MURO, S.L.)",B60108578,A,S,S,"Veler,1",07458,PLATJA DE MURO,MALLORCA,BALEARES,971 89 19 00 Ext.0176 / 971 89 41 75 ,39.9236,3.8242
HOSPITAL LA SALUD,R4600508H,A,SI,SI,c/ Manuel Candela 41,46021,Valencia,VALENCIA,COMUNIDAD VALENCIANA,963 89 77 00,39.4698,-0.3774
HOSPITAL LA VEGA GRUPO HLA  S.L.,B73923120,A,SI,SI,"C/ Román Alberca s/n      
",30008,Murcia,Murcia,REGIÓN DE MURCIA,968 20 05 75,37.987,-1.13
HOSPITAL LOS MADROÑOS,B79427308,A,S,S,"Crta. M-501, km 17,900",28690,BRUNETE,MADRID,C. MADRID,918163526/665955846,40.4049,-3.9993
HOSPITAL MADRID SANCHINARRO,A79325858,A,S,S,"Oña, 10",28050,MADRID,MADRID,C. MADRID,917089928,40.4975,-3.6637
"HOSPITAL MEDITERRANEO GRUPO HLA, S.A.U",A04177093,A,N,N,"C/ Nueva Musa, S/N  (urb. Nueva Almeria)             ",04007, Almeria, Almeria,ANDALUCÍA,915957619,36.8381,-2.4597
HOSPITAL MESA DEL CASTILLO,B30023535,A,S,S,"Avda. Ronda Sur, 20",30010,MURCIA,MURCIA,REGIÓN DE MURCIA,968246116,37.987,-1.13
"HOSPITAL MONCLOA GRUPO HLA, S.A.U.",A80386451,A,N,S,"Avda. de Valladolid, 83         ",28008,MADRID,MADRID,C. MADRID,915957619/915957392,40.4277,-3.7239
HOSPITAL NISA AGUAS VIVAS,A46663324,B,N,S,Ctra. Alzira-Tabernes de Valldigna,46740,CARCAIXENT,VALENCIA,C. VALENCIANA,962588800,39.1221,-0.4471
"HOSPITAL NISA SEVILLA ALJARAFE (GESNISA SEVILLA,S.L.U)",B97338552,A,S,S,"Avda. Plácido Fernández Viaga, s/n",41950,CASTILLEJA DE LA CUESTA,SEVILLA,ANDALUCÍA,954 46 40 00 / 676 54 96 61,37.3859,-6.0526
HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,A30602965,A,N,S,"Sebastian Feringan, 12",30205,CARTAGENA,MURCIA,REGIÓN DE MURCIA,968510500/968510804,37.6051,-0.9862
HOSPITAL OCHOA MARBELLA,B29819059,A,S,S,Paseo Alfonso Cañas 3,29603,MARBELLA,MÁLAGA,ANDALUCÍA,952861400,36.5127,-4.8734
"HOSPITAL PLATÓ, FUNDACIÓ PRIVADA",G60213717,A,S,S,"Plató, 21",08006,BARCELONA,BARCELONA,CATALUÑA,933069900ext. 3860,41.4008,2.1481
HOSPITAL POLICLINICO LA PALOMA,A35005842,A,S,S,"Maestro Valle, 20",35005,LAS PALMAS G.C.,LAS PALMAS,CANARIAS,928234466,28.0997,-15.4134
HOSPITAL POVISA,A36606788,A,S,S,"Salamanca, 5",36211,VIGO,PONTEVEDRA,GALICIA,986413144,42.2247,-8.7304
HOSPITAL QUIRÓNSALUD  COSTA ADEJE,B87324844,A,S,S,"Urb. San Eugenio, s/n",38660,COSTA ADEJE,TENERIFE,CANARIAS,922270700,28.109425,-16.727075
HOSPITAL QUIRÓNSALUD A CORUÑA,A15015647,A,S,S," Londres, 2",15009,CORUÑA,CORUÑA,GALICIA,981219811,42.862624999999994,-8.10105
HOSPITAL QUIRÓNSALUD ALBACETE,B87324844,A,S,N,"Plaza del Madroño, 11",02006,Albacete,ALBACETE,CASTILLA LA MANCHA,967247100,38.9898,-1.8715
HOSPITAL QUIRÓNSALUD ALCALA DE HENARES,B87324844,C2,N,S,C/ Republica Dominicana 6,28806,ALCALÁ DE HENARES,MADRID,C. MADRID,918775780,40.482,-3.36
HOSPITAL QUIRÓNSALUD BIZKAIA,B87324844,A,S,S,"Ctra. Leioa - Unbe, 33 Bis",48950,ERANDIO,VIZCAYA,PAÍS VASCO,944898015,43.3060125,-2.9608125
HOSPITAL QUIRÓNSALUD CÁCERES,B87324844,A,S,S,"Avda. de la Universidad, s/n",10004,CÁCERES,CÁCERES,EXTREMADURA,927181360,39.4765,-6.3722
HOSPITAL QUIRÓNSALUD CAMPO DE GIBRALTAR,B87324844,A,S,S,"Avda.Empresarios, s/n-Edif. Arttysur",11379,PALMONES,CÁDIZ,ANDALUCÍA,956798300,36.18538888888889,-5.432922222222222
HOSPITAL QUIRÓNSALUD CIUDAD REAL,B81959843,A,S,S,"Alisos, 19",13002,CIUDAD RAL,CIUDAD REAL,CASTILLA LA MANCHA,926255008,38.984,-3.9369
HOSPITAL QUIRÓNSALUD CLIDEBA,B87324844,A,S,S,"Eladio Salinero de los Santos, 6",06011,BADAJOZ,BADAJOZ,EXTREMADURA,924229050,38.8639,-6.9881
HOSPITAL QUIRÓNSALUD CORDOBA,B87324844,A,S,S,Avda. del Aeropuerto s/n,14004,CORDOBA,CORDOBA,ANDALUCÍA,957410000,37.8916,-4.7727
HOSPITAL QUIRÓNSALUD MÁLAGA,B87324844,A,S,S,"Avda. Imperio Argentina, 1 y nº 21",29004,MÁLAGA,MÁLAGA,ANDALUCÍA,952176016/951940025,36.7202,-4.4203
HOSPITAL QUIRONSALUD MARBELLA,B87324844,A,,,"Avda. Severo Ochoa, 22",1981-01-17 00:00:00,Marbella,Malaga,ANDALUCÍA,951913030,,
HOSPITAL QUIRÓNSALUD MURCIA,B87324844,A,S,S," Miguel Hernández, 12",30011,MURCIA,MURCIA,REGIÓN DE MURCIA,968365000,37.987,-1.13
HOSPITAL QUIRÓNSALUD PONTEVEDRA,B87324844,A,S,S,"Fray Juan Navarrete, 9",36001,PONTEVEDRA,PONTEVEDRA,GALICIA,986856800,42.4293,-8.644
HOSPITAL QUIRÓNSALUD SAGRADO CORAZÓN,B87324844,A,S,S,"Manuel Siurot, 49",41013,SEVILLA,SEVILLA,ANDALUCÍA,954937676,37.3656,-5.9751
HOSPITAL QUIRONSALUD SON VERÍ (IDCQ HOSPITALES Y SANIDAD SLU),B87324844,C,N,S,"Passeig l'Arbreda, s/nº",07609,SON VERÍ NOU (LLUCMAJOR),MALLORCA,BALEARES,971 44 30 30 ,39.50827,2.71356
HOSPITAL QUIRÓNSALUD SUR (IDQC HOSPITALES Y SANIDAD S.L.U.),B87324844,A,S,S,"Estambul, 30",28922,ALCORCÓN,MADRID,C. MADRID,916496600ext1802,40.3458,-3.8249
HOSPITAL QUIRÓNSALUD TALAVERA,B87324844,C2,N,N,"Avda. Francisco de Aguirre, 8",45600,TALAVERA DE LA REINA,TOLEDO,CASTILLA LA MANCHA,925722036,39.9635,-4.8308
HOSPITAL QUIRÓNSALUD TENERIFE,B87324845,A,S,S,"Poeta Rodríguez Herrera, 1",38006,SANTA CRUZ DE TENERIFE,TENERIFE,CANARIAS,922270700,28.4682,-16.2546
HOSPITAL QUIRÓNSALUD TOLEDO,B87324844,A,S,S,"Urbanización Tres Culturas, s/n",45005,TOLEDO,TOLEDO,CASTILLA LA MANCHA,925266100ext2042,39.8853,-4.0512
HOSPITAL QUIRÓNSALUD TORREVIEJA,B87324844,A,S,S,"Partida de la Loma, s/n",03184,TORREVIEJA,ALICANTE,C. VALENCIANA,966921313/966925754,37.9948,-0.6869
HOSPITAL QUIRÓNSALUD VALENCIA,B87324844,A,S,S,"Avd. Blasco Ibañez, 14",46010,VALENCIA,VALENCIA,C. VALENCIANA,961041909,39.4698,-0.3774
HOSPITAL QUIRONSALUD VALLE DEL HENARES,B87324844,A,SI,SI,Avda. de la Constitucion 249,28850,Torrejon de Ardoz,MADRID,MADRID,918775780,40.4554,-3.4697
HOSPITAL QUIRONSALUD VALLES (clínica DE SABADELL),B87324844,B,N,S,"Passeig Rubió i Ors, 23",08023,SABADELL ,BARCELONA,CATALUÑA,937283100 / 682770925,41.4129,2.1454
HOSPITAL QUIRÓNSALUD VITORIA-ALAVA,B87324844,B,N,S,"La Esperanza, 3",01002,VITORIA - GASTEIZ,ALAVA,PAÍS VASCO,945252500,42.8525,-2.661
HOSPITAL RAMON NEGRETE (MUTUA MONTAÑESA),G39008321,B,N,S,"Avda. del Faro-Pintor Eduardo Sanz, 19",39012,SANTANDER,CANTABRIA,CANTABRIA,942204100,43.4623,-3.8384
HOSPITAL RECOLETAS BURGOS,B09466145,A,S,S,"Avenida de Cruz Roja, 1",09006,Burgos,BURGOS,CASTILLA LEÓN,947244055,42.3558,-3.6834
HOSPITAL RECOLETAS CAMPO GRANDE,B34002592,A,S,S,"Plaza Colón, s/n",47007,VALLADOLID,VALLADOLID,CASTILLA LEÓN,983135555,41.6373,-4.7351
